,block_number,timestamp_utc,gas_burned_eth,gas_burned_fiat
0,13489123,2021-10-25 21:56:27,0.01532035853707569,64.16026881815498
1,13488889,2021-10-25 21:01:48,0.014710172341263122,61.63273489443337
2,13429964,2021-10-16 16:01:10,0.010239269328556596,40.01114029975995
3,13304724,2021-09-27 00:43:08,0.006449948263135872,19.807711302149055
4,12628669,2021-06-13 21:56:24,0.000378,0.9547943908226882
5,13250262,2021-09-18 14:43:52,0.019138936133824534,66.54624751461255
6,13431046,2021-10-16 19:58:06,0.00955274430747085,36.81963914513252
7,12761575,2021-07-04 14:30:29,0.0025807,5.973445230612832
8,13279188,2021-09-23 01:56:25,0.011390230328558591,34.92907981244432
9,13365385,2021-10-06 12:21:31,0.014429496407862334,49.23699542101242
10,13343166,2021-10-03 00:45:40,0.00635458759799577,21.509717144829082
11,13369327,2021-10-07 03:05:30,0.01894603785386624,66.87162325032759
12,13387747,2021-10-10 00:27:50,0.013611212078470138,48.64850939720323
13,13336280,2021-10-01 22:55:36,0.007537095137768868,24.7437821568002
14,13336267,2021-10-01 22:53:29,0.009350933293257879,30.697215972330163
15,13279254,2021-09-23 02:13:15,0.01234934793441277,37.86197569537208
16,13249961,2021-09-18 13:38:43,0.004880088873105075,17.058663829876533
17,13270297,2021-09-21 16:48:53,0.01613276236602125,48.121847900734316
18,13249986,2021-09-18 13:44:19,0.002211917407684215,7.728300742092207
19,13267315,2021-09-21 05:52:27,0.008948815249328355,26.64234628953971
20,13220834,2021-09-14 01:23:07,0.0197625245449673,65.72914516860402
21,13253013,2021-09-19 00:42:31,0.002070578248768155,7.0728015403728435
22,13279269,2021-09-23 02:18:53,0.01227350390265054,37.59964871653191
23,13279274,2021-09-23 02:19:39,0.003030854433961508,9.285318929854288
24,13279284,2021-09-23 02:21:58,0.02521836291529846,77.2583076683875
25,13369395,2021-10-07 03:19:48,0.01685597844664963,59.417438070504545
26,13220832,2021-09-14 01:21:56,0.002550520812627588,8.468747559126257
27,13304569,2021-09-27 00:07:45,0.01196974864086429,36.54289049614583
28,12762182,2021-07-04 16:44:50,0.0009705,2.295295554852127
29,13220921,2021-09-14 01:39:07,0.002038569581119272,6.772625873425065
30,12762085,2021-07-04 16:21:29,0.0060928,14.392760156526041
31,12762152,2021-07-04 16:38:12,0.001049808,2.4841094642148756
32,13246838,2021-09-18 01:43:11,0.011250577783995732,38.365974664766746
33,13304763,2021-09-27 00:50:33,0.00228250184601204,7.06847103092159
34,12762124,2021-07-04 16:31:51,0.006366924,15.059367326403105
35,12761524,2021-07-04 14:20:23,0.0029228,6.764819222145013
36,13009870,2021-08-12 10:41:02,0.00140238202459646,4.418899187621667
37,13304698,2021-09-27 00:36:50,0.001648341653530878,5.193916825771142
38,13336255,2021-10-01 22:51:13,0.00335978643905443,11.03312205331303
39,13220914,2021-09-14 01:38:06,0.005284300151415602,17.562714813497905
40,13267445,2021-09-21 06:20:11,0.002931702462625,8.81532973877905
41,13304788,2021-09-27 00:54:48,0.00567877433293648,17.684229178291368
42,13220929,2021-09-14 01:40:50,0.018010518679853958,59.764770709113606
43,13304788,2021-09-27 00:54:48,0.00192402073289488,5.991578743841901
44,13369281,2021-10-07 02:54:39,0.003738802926642,13.200729513800654
45,13369302,2021-10-07 02:59:20,0.007581033761110512,26.733239515096802
46,13369339,2021-10-07 03:08:54,0.00942121205037733,33.25316233187257
47,13369460,2021-10-07 03:35:14,0.00599298984659673,21.075383923971383
48,13009874,2021-08-12 10:42:47,0.02162442049719485,68.14068667166563
49,13250036,2021-09-18 13:54:30,0.18246615096833782,634.4753767212139
50,13250199,2021-09-18 14:30:44,0.002310057532088306,8.030648868588646
51,13250179,2021-09-18 14:27:36,0.00702869286582554,24.433354635679805
52,13256438,2021-09-19 13:38:11,0.000990627893304,3.3104265700023654
53,13279276,2021-09-23 02:20:22,0.003330357068062728,10.202874536220502
54,13304822,2021-09-27 01:01:50,0.23266038933499075,728.2479571480497
55,13304827,2021-09-27 01:02:31,0.012206904041160056,38.20764362519743
56,13336267,2021-10-01 22:53:29,0.00211191975599931,6.933003886669237
57,13270274,2021-09-21 16:42:58,0.004871041694734875,14.537563795275778
58,13343100,2021-10-03 00:30:05,0.009869317000439765,33.57753184672674
59,13343110,2021-10-03 00:34:14,0.003181418773170663,10.818668896223329
60,13369365,2021-10-07 03:13:36,0.007193936470767606,25.392892107486333
61,13369444,2021-10-07 03:31:11,0.00653232388420924,22.97778615891975
62,13369577,2021-10-07 04:01:04,0.00540186213641813,19.040558561915095
63,13326208,2021-09-30 09:12:35,0.013227511274253156,39.44276935950675
64,13448174,2021-10-19 12:24:37,0.002070773504371894,7.8734489758634085
65,13369733,2021-10-07 04:37:48,0.007268093229136536,25.661444881673113
66,13369811,2021-10-07 04:55:01,0.005622560909961522,19.91731636386276
67,13440087,2021-10-18 05:59:24,0.030993757296057994,119.72546090764384
68,13369927,2021-10-07 05:25:20,0.003207408689562,11.298636502174283
69,13369907,2021-10-07 05:19:48,0.007402600661960406,26.094155352295335
70,13369913,2021-10-07 05:20:53,0.012271964749889964,43.261497976362044
71,13369782,2021-10-07 04:48:10,0.012421324727718366,44.00311916154256
72,13429929,2021-10-16 15:53:03,0.00401901733236495,15.712267830295811
73,13369822,2021-10-07 04:57:08,0.009446494339965836,33.45914800593109
74,13448351,2021-10-19 13:03:52,0.02012274,76.5157533797666
75,13497021,2021-10-27 03:30:04,0.004135378251300982,17.398090832290716
76,13497127,2021-10-27 03:52:44,0.0461772458557202,194.7236019171696
