,current_price,open_quantity,market_value,average_price,book_value,closed_quantity,realized_profits,unrealized_profits,pct_profits
USDC-USDT,2401030264229.325,1.17745119056e-07,282709.59431874106,2381334304565.666,280390.4912032213,1.635584599e-09,0.06114027204694139,2319.1031155197416,0.008270976328647688
DAI,1.0,4.999967065395211,4.999967065395211,1.0000000000000013,4.999967065395197,95834.86569559135,1.0799436330280205e-12,1.4210854715202004e-14,2.8421896643190748e-15
USDC,1.0,4.964288,4.964288,1.0000000000000004,4.964287999999669,215845.714068,-1.0959683952472404e-12,3.304023721284466e-13,6.655584287786457e-14
DAI-USDC,2242802.127875487,0.06251230432404975,140202.72915637877,2239219.036642818,139978.74186682134,0.0009974725547905062,0.01006672292339772,223.98728955743718,0.0016001521843262694
DAI-USDT,2274555.0778619144,0.020621441979033064,46904.6055662445,2265360.8025623327,46715.00635161492,0.000156595816455328,0.009971275417740344,189.599214629583,0.004058636173620656
USDT,1.0,9.449768,9.449768,1.0000000000000002,9.449768000000006,482913.848236,8.822989912185119e-13,-5.329070518200751e-15,-5.639366509527798e-16
ETH,4478.589631271927,0.03500986387419514,156.79481333921197,3889.544032649352,136.17240711574186,82.7818505828526,-213.11164025495913,20.622406223470108,0.1514433552308565
