,USDC-USDT,DAI,USDC,DAI-USDC,DAI-USDT,USDT,ETH
2021-08-06,872.8197916530717,1.9554609480545477,5.021893167821969,437.1606739008782,145.53663399142488,4.696274890774571,579.6875152984752
2021-08-07,873.0717061548465,49.64195505907659,299.43247192200886,736.3761572564651,145.48015547700487,350.0079326709521,629.251284178147
2021-08-08,0.0,0.0,0.0,0.0,0.0,0.0,2013.7768395848786
2021-08-09,0.0,0.0,0.0,0.0,0.0,0.0,2075.2693640174016
2021-08-10,0.0,0.0,0.0,0.0,0.0,0.0,2088.898101778078
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,2090.663130356044
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,1981.872837049604
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,2172.9454839016244
2021-08-14,0.0,0.0,0.0,0.0,0.0,0.0,2150.042350012296
2021-08-15,0.0,0.0,0.0,0.0,0.0,0.0,2176.775086339231
2021-08-16,284.6525133168102,10.060880504843004,0.31292067838199683,142.67097811450398,47.44914451838867,9.997466552356668,2109.458128853525
2021-08-17,284.7327978301229,10.053366729202233,0.31293999573504694,142.62400736218402,47.44269668293462,10.001419860723885,2014.489761464837
2021-08-18,284.6742965636203,10.053966908604295,0.3127908472178203,142.5965688735351,47.44284361652817,9.9998124559668,2006.32446847469
2021-08-19,284.7719856615915,10.057992125152152,0.31275976418112506,142.61954576441437,47.46357461092322,10.003648325499206,2094.614289472422
2021-08-20,284.90835609565016,10.042974587526459,0.3130862729808742,142.58864629524948,47.42405620163714,10.000742444276023,2160.06729919269
2021-08-21,284.77840642482965,10.050529762426269,0.3126992278534342,142.55662994031138,47.44900100373589,10.002561323041167,201.6758440490137
2021-08-22,284.7423943576592,10.059418461953108,0.3127110867432199,142.62658463417748,47.46213357061529,9.998310083994932,199.45333300190669
2021-08-23,284.9081161234936,10.049254637661342,0.3130887997047072,142.64222601069454,47.43473226325649,9.99549871615204,207.03976547070332
2021-08-24,284.80123739743794,10.04959092864232,0.3126105705181607,142.53812586877936,47.44935370725739,10.00005197973966,199.2898107275773
2021-08-25,284.50820214340723,10.038982060159679,0.3124355920374314,142.42592462123366,47.382310503531606,9.9816837015453,199.97106719713346
2021-08-26,284.9005669727908,10.050247483355076,0.3125864898704082,142.542811700869,47.4584822260568,10.001451212541028,194.47458840596505
2021-08-27,285.00009680393174,10.056194439422772,0.3129898693298667,142.67813415525595,47.453825199704625,9.992879074977692,202.88953169706198
