,current_price,open_quantity,market_value,average_price,book_value,closed_quantity,realized_profits,unrealized_profits,pct_profits
WETH-USDT,245828378.07685077,0.001043002528875103,256399.62000342025,219027176.74341762,228445.8992357587,1.4593145770535e-05,-10.21614097452266,27953.72076766155,0.12236472994778078
USDC-USDT,2401031478764.4507,4.8157050076e-08,115626.59315691199,2381435122514.0625,114682.8904476549,4.00553809e-10,0.0016542083365038707,943.7027092570788,0.008228801223734556
USDC,1.0,11.045017,11.045017,1.0,11.045016999999916,174792.04678499998,2.842170943040401e-14,8.348877145181177e-14,7.558953639619785e-15
USDC-WETH,238163453.36727646,0.001070161630139855,254873.38949526192,213892033.63789138,228899.04739185455,1.0597833328485e-05,2.6721781963232445,25974.34210340737,0.11347509917305001
EQX,0.3381965616763998,0.0,0.0,0.4001705058408229,0.0,3000.0,-198.53773152954705,0.0,0.0
USDT,1.0,7.44367,7.44367,1.0,7.443670000000111,581782.189965,2.4318602687145585e-12,-1.1102230246251565e-13,-1.4914995219094075e-14
ETH,4478.587072214124,0.05270998522491318,236.06625840489366,3895.6792546536667,205.3411959537957,107.57714651247018,-469.6315254597021,30.725062451097955,0.14962931480155336
