,WETH-USDT,USDC-USDT,USDC,USDC-WETH,EQX,USDT,ETH
2021-08-11,0.0,0.0,0.0,0.0,0.0,4997.767551564546,0.0
2021-08-12,0.0,0.0,0.0,0.0,0.0,5001.639251612411,0.0
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,2422.7012166507493
2021-08-14,0.0,0.0,0.0,0.0,0.0,0.0,2397.165624179667
2021-08-15,0.0,0.0,0.0,0.0,0.0,0.0,2426.9709889729797
2021-08-16,188.94420375143503,596.3355026814994,0.031975273685963576,1021.2635003427746,0.0,0.05312653725922334,3632.3112681054286
2021-08-17,184.78715505746624,596.5036954897975,0.031977247597223965,998.5089515960192,0.0,0.05314754513988673,3468.783646361646
2021-08-18,184.49813028125487,596.3811377025473,0.03196200710662156,996.721436995752,0.0,1.0531202489876876,3454.723691660572
2021-08-19,188.66782157742003,596.5857924117798,0.03195883093874905,1018.9449776135071,0.0,1.0535242197516232,3606.751412563176
2021-08-20,191.71568747385268,596.8714829556562,0.03199219469178333,1035.789444395079,0.0,1.053218189776485,3719.4560457988
2021-08-21,191.35521251617058,596.5992436510771,0.0319526451358297,1032.9651621697903,0.0,1.0534097431747576,3701.215844016203
2021-08-22,190.34885680611734,596.5237998268562,0.03195385691655468,1027.6029027963975,0.0,1.052962028185842,3660.427651757271
2021-08-23,194.04607308862853,596.8709802236938,0.031992452880812275,1048.1441575976664,0.0,1.0526659517928358,3799.656145806588
2021-08-24,190.63452189309623,596.6470736152971,0.03194358583500531,1028.1546276307583,0.0,1.0531454741943025,3657.4266417183576
2021-08-25,190.8875507719573,596.0331766098584,0.03192570595298727,1030.16803614679,0.0,1.0512110373445418,3669.929265673396
2021-08-26,188.5560141775307,596.8551650582955,0.03194112519448004,1016.7608153531518,0.0,1.0532928329975457,3569.0562311059666
2021-08-27,192.61650738500606,597.0636760290704,0.03198234384670262,1039.5776624682849,0.0,1.0523900669022006,3723.489805351658
2021-08-28,191.75925983136236,597.2690987752778,0.03201175560193754,1035.6855216215565,0.0,1.0518776677617558,3689.737303709601
2021-08-29,192.2180621235413,597.0621214350641,0.031944195882281555,1036.4092489174375,0.0,1.0532024044719963,3700.0062445079566
2021-08-30,193.44547584745848,597.3070566833403,0.031979179050786156,1043.7511679385595,0.0,1.052685525101024,3745.475094876999
2021-08-31,196.93979662751624,597.3895483135029,0.03198216790052579,1062.7377062165951,0.0,69955.33831663357,3878.136369492983
2021-09-01,28508.024337910352,14304.70263954487,0.6729813846009413,29390.00921684985,0.0,0.0,5613.026476415894
2021-09-02,28692.046151089307,14318.772972688268,0.6737776451154633,29586.068711645403,0.0,0.0,5676.741761555191
2021-09-03,28966.181997645122,14313.071795664131,0.6741657718088723,29901.204341780733,0.0,0.0,5789.612725296546
2021-09-04,29003.784681208086,14320.500687409858,0.674017335872218,29932.352098951553,0.0,0.0,5796.828109876972
2021-09-05,29236.736397679266,14342.188966867987,0.6746484505746038,30158.24420734726,0.0,0.0,5875.102867561441
2021-09-06,29228.298870253253,14318.467461569451,0.674402889469565,30188.39437221273,0.0,499203.73123909056,5884.732547534385
2021-09-07,211797.80384224528,112215.15677730626,0.0,212152.91823842708,0.0,8.639893898872028,10264.290089253493
2021-09-08,215330.07925412283,112280.58502202563,0.0,215733.22725599588,0.0,8.641055319486552,10584.26159063502
2021-09-09,212362.8675918208,112284.4636291512,0.0,212894.71362656786,0.0,8.634061496361037,10289.529229728178
2021-09-10,203621.91985323562,112235.75855617988,0.0,204039.41556614294,0.0,8.632180646222986,9445.159970653329
2021-09-11,206877.69343276578,112355.75677923884,0.0,207123.35590086775,0.0,8.647978015462236,9721.978942885169
2021-09-12,210714.86599671948,112389.32722902505,0.0,211043.90973087802,0.0,8.646615104341299,10078.426506763604
2021-09-13,208076.09420013672,112315.1813445216,0.0,208504.4540927074,0.0,8.63461249362551,9824.520580303613
2021-09-14,212350.12148265901,112334.3812351704,0.0,212597.5215158584,0.0,8.641630258742076,10211.618831548365
2021-09-15,217378.68916756456,112263.73445299217,0.0,217708.36322643366,0.0,8.631999318682608,10703.741472658114
2021-09-16,216473.9533750247,112358.46619835419,0.0,216740.44660481304,0.0,8.6396601468974,10592.51031154026
2021-09-17,211495.05781979917,112402.55498232451,0.0,211750.95277395716,0.0,8.642203584117746,10097.76756147966
2021-09-18,212338.11991412356,112343.88470340708,0.0,212638.13489778296,0.0,8.63419694066246,10179.062977638026
2021-09-19,209033.78892838923,112418.40916288718,0.0,209322.49213538092,0.0,8.639740753551637,9850.669725892736
2021-09-20,199030.29620869437,112426.8228962299,0.0,199309.0616871768,0.0,8.6381136946805,8911.07047577301
2021-09-21,190583.06068374196,112445.68305435719,0.0,190844.37583923733,0.0,8.638616008134308,8151.835853297358
2021-09-22,202057.3789292745,112423.66276922205,0.0,202229.36059397022,0.0,8.639821864302233,9148.384939494708
2021-09-23,204829.7330115004,112457.01652882701,0.0,204923.81543507817,0.0,8.644467649761081,9388.031424887256
2021-09-24,198962.52687162347,112466.56219595799,0.0,198933.32814652487,0.0,8.64779211567522,8839.889122796394
2021-09-25,198188.03374803826,112496.72781117381,0.0,198166.45979573493,0.0,8.648652085726349,8761.829508575676
2021-09-26,201239.29480048196,112198.79241802644,0.0,201679.24584446638,0.0,8.604646543924465,9068.328054541527
2021-09-27,200795.10417098872,112522.37900714531,0.0,200830.62023130714,0.0,8.64552517771261,8976.887712266493
2021-09-28,195332.14484424517,112504.8595726994,0.0,195367.39937059305,0.0,8.643575493538945,8488.050878254306
