,current_price,open_quantity,market_value,average_price,book_value,closed_quantity,realized_profits,unrealized_profits,pct_profits
UNI,25.53097220291049,288.46621661480066,7364.822957871232,24.95858006871855,7199.707164500812,-0.0,0.0,165.11579337041985,0.022933681828692553
WBTC,61217.08191289965,0.47502403,29079.5849551057,54859.12158859782,26059.401019275738,-0.0,0.0,3020.183935829962,0.11589613796556485
BONDLY,0.06476836761860187,0.0,0.0,0.060962593591918496,0.0,99999.99999999999,-495.7726810492677,0.0,0.0
SAITAMA-WETH,2131.840089377335,3.5124036248102817,7487.882857444826,561.3734034747059,1971.7699772366418,-0.0,0.0,5516.112880208184,2.797543802720234
XDB,0.7109998988197251,30000.0,21329.996964591755,0.44347832384264424,13304.349715279328,-0.0,0.0,8025.647249312427,0.6032348383097149
WETH,4477.263084571948,1.8443591100849264,8257.68095827721,3516.6727232050243,6486.007374230353,-0.0,0.0,1771.6735840468564,0.2731531868258303
ETH,4477.263084571948,1.09505555,4902.851789570631,3530.7369157477547,3866.3530551794615,0.004944449999999989,1.7208626438188226,1036.4987343911694,0.26808176066659256
